Nome do Banco;CNPJ;Classificação do Banco;Quantidade de Clientes do Bancos;Índice de reclamações;Quantidade de reclamações;Índice de satisfação dos funcionários dos bancos;Índice de satisfação com salários dos funcionários dos bancos;ano_tri
BNP PARIBAS;1522368;S3;2047673;;440.0;3.8;3.4;202203
BNP PARIBAS;1522368;S3;1917938;;391.0;3.8;3.4;202204
BNS SCM LTDA.;7835244;S5;;0.0;;0.0;0.0;
BNY MELLON;42272526;S4;3744;;1.0;0.0;0.0;202101
BOA VIAGEM SCC LTDA.;6373777;S4;;0.0;;0.0;0.0;
BOFA MERRILL LYNCH;62073200;S3;4484;;1.0;3.8;3.8;202102
BOFA MERRILL LYNCH;62073200;S3;4782;;2.0;3.8;3.8;202103
BOFA MERRILL LYNCH;62073200;S3;4769;;1.0;3.8;3.8;202104
BOFA MERRILL LYNCH;62073200;S3;4697;;1.0;3.8;3.8;202201
BOFA MERRILL LYNCH;62073200;S3;4928;;2.0;3.8;3.8;202204
BOM CR�DITO SCMEPP LTDA.;5669150;S5;;0.0;;0.0;0.0;
BONSUCESSO;71027866;S4;;0.0;;0.0;0.0;
BPN BRASIL BM S.A.;61033106;S4;;0.0;;0.0;0.0;
BR PARTNERS;13220493;S4;;0.0;;0.0;0.0;
BR-CAPITAL DTVM S.A.;44077014;S4;;0.0;;0.0;0.0;
BRADESCO;60746948;S1;98648524;;8752.0;4.2;4.3;202101
BRADESCO;60746948;S1;99260817;;9639.0;4.2;4.3;202102
BRADESCO;60746948;S1;100264792;;10693.0;4.2;4.3;202103
BRADESCO;60746948;S1;99921260;;8104.0;4.2;4.3;202104
BRADESCO;60746948;S1;102567618;;8047.0;4.2;4.3;202201
BRADESCO;60746948;S1;101788328;;8722.0;4.2;4.3;202203
BRADESCO;60746948;S1;102814534;;6878.0;4.2;4.3;202204
BRASIL PLURAL;45246410;S4;;0.0;;0.0;0.0;
BRB;208;S3;1111807;;409.0;0.0;0.0;202101
BRB;208;S3;1754926;;802.0;0.0;0.0;202102
BRB;208;S3;2904792;;696.0;0.0;0.0;202103
BRB;208;S3;3633478;;814.0;0.0;0.0;202104
BRB;208;S3;4008721;;609.0;0.0;0.0;202201
BRB;208;S3;5745833;;710.0;0.0;0.0;202203
BRB;208;S3;6040929;;657.0;0.0;0.0;202204
BRB BANCO DE BRASILIA S/A;208;S3;;0.0;;0.0;0.0;
BRICKELL S.A. CFI;12865507;S4;6482;;1.0;0.0;0.0;202103
BRICKELL S.A. CFI;12865507;S4;23238;;1.0;0.0;0.0;202203
